Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Currency
BIS,EPSRC,20/12/2013,Research Grant Expenditure,Non Theme Specific,Loughborough University GRANT,37921793,169930.42,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Bristol GRANT,37921794,44224.43,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Manchester GRANT,37921795,45329.57,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC Engineering,University of Nottingham GRANT,37921796,5287.27,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC Physical Sciences,University of Nottingham GRANT,37921796,2265.98,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Nottingham GRANT,37921796,54494.22,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Physical Sciences,University of Nottingham GRANT,37921796,23354.67,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,University of Bristol GRANT,37921797,25526.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,NC Engineering,ICSTM,37921798,225898.42,GBP
BIS,EPSRC,20/12/2013,Capital Grants & Equipment to HEIs,NC Infrastructure,University College London GRANT,37921799,1209863.76,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,University College London GRANT,37921800,71215.94,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,University College London GRANT,37921800,16208.48,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,R H B N C GRANT,37921801,2279.02,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,R H B N C GRANT,37921801,518.7,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,R H B N C GRANT,37921802,43583.37,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,R H B N C GRANT,37921802,9919.4,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU Global Uncertainty,ICSTM,37921803,35151.43,GBP
BIS,EPSRC,20/12/2013,Research Grant Expenditure,GU ICT,ICSTM,37921803,8000.33,GBP
